,summer_deaths,summer_deaths,summer_deaths,summer_deaths,mortality_rate,mortality_rate,mortality_rate,mortality_rate,hw_days,hw_days,hw_days,hw_days,hw_events,hw_events,hw_events,hw_events,hw_intensity,hw_intensity,hw_intensity,hw_intensity,summer_tmax_mean,summer_tmax_mean,summer_tmax_mean,summer_tmax_mean,summer_tmax_anomaly,summer_tmax_anomaly,summer_tmax_anomaly,summer_tmax_anomaly,rsvi,rsvi,rsvi,rsvi
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
nuts2_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC1,16568.636363636364,1005.9710008471686,15447,19127,380.4231724174166,27.232430226297122,349.4065946394917,449.3756387515125,8.727272727272727,8.137455487938587,0,26,1.3636363636363635,1.026910636104941,0,3,1.20492835807038,0.7000265174672679,0.0,1.9104997158050523,23.568396421196564,0.8731917890132438,21.82354224314455,25.35667242769335,0.0,0.8731917890132446,-1.7448541780520124,1.7882760064967869,0.5252527272727273,0.02752776092271549,0.470899,0.566138
ITC2,447.90909090909093,41.4980831977925,390,542,354.547464166907,35.935104049958746,304.1054232133807,439.3644617380026,9.636363636363637,6.960929927426755,0,23,2.0,1.4832396974191326,0,5,1.3563585381891103,0.7144901454585197,0.0,2.4946208681379045,15.161121846488976,0.9968687865883261,12.80274366159908,16.58195228068555,-8.074349270001138e-16,0.9968687865883264,-2.3583781848898955,1.4208304341965725,0.29653654545454544,0.038527322464359325,0.232804,0.359788
ITC3,6916.545454545455,324.1034907668733,6453,7692,446.6012942067907,25.892739707425335,408.33450398083426,509.6648814260545,9.545454545454545,9.719708188661183,0,32,1.6363636363636365,1.5015143870590968,0,5,0.9641099057434164,0.7208484565370631,0.0,2.1007582346598306,23.871714923847268,0.8203963083972526,22.381359788238026,25.432206404013712,4.198661620400592e-15,0.8203963083972534,-1.4903551356092422,1.5604914801664442,0.6154403636363637,0.029584153133976075,0.542328,0.645503
ITC4,30746.0,1975.32215094146,28519,35510,308.50523590656763,19.62553074038913,287.2070840721471,357.13552966487794,9.909090909090908,7.489386429535406,0,23,1.7272727272727273,1.009049958219026,0,3,1.3668474183110648,0.5572472821618261,0.0,1.9457753988412674,24.716578556066477,0.8286293859219397,22.842661607460897,26.078108701549592,-9.689219124001365e-16,0.8286293859219398,-1.8739169486055793,1.3615301454831155,0.2664740909090909,0.029413716859501275,0.216931,0.304233
ITF1,4767.363636363636,260.1204616047236,4495,5250,364.24866879033357,23.770102679889984,339.34423024577455,411.4581292370391,7.909090909090909,8.443394405741632,0,27,1.6363636363636365,2.013590190318143,0,7,1.154775245422466,0.9452466479153344,0.0,3.207225799560547,24.985947322561206,1.065340061455127,23.29615309981049,26.588684074214246,-1.6148698540002276e-15,1.0653400614551263,-1.6897942227507166,1.6027367516530404,0.628668,0.019050272034803074,0.603175,0.661376
ITF2,1232.2727272727273,74.94143167713153,1132,1358,403.3169319732333,32.50271311742498,368.8114619187784,461.4433185861758,8.909090909090908,8.514159329664267,0,24,1.9090909090909092,1.8140862964338522,0,6,1.1761082614350755,0.879478486630209,0.0,2.625778095538799,26.32457995521329,0.9721021762615449,24.710554122924805,27.743748727391978,2.2608177956003187e-15,0.9721021762615456,-1.6140258322884868,1.4191687721786863,0.640692909090909,0.08306902573818303,0.497354,0.724868
ITF3,16969.81818181818,1049.1788044162738,15862,18892,295.2238823043462,21.53692468473918,272.88204173983894,335.8924120175947,9.363636363636363,8.297863909136222,0,21,1.7272727272727273,1.618079669911781,0,5,0.9899718316509823,0.7746045177215767,0.0,2.406684167044502,26.8484920439173,0.9024890950383908,25.453376598045473,27.84542637184018,-3.875687649600546e-15,0.9024890950383914,-1.3951154458718271,0.9969343279228795,0.6435788181818182,0.009247204180920662,0.62963,0.65873
ITF4,12667.818181818182,1070.4683851643465,11457,14726,315.9693315926015,30.820703892494837,280.96114854425974,374.3476053675641,8.272727272727273,8.911687933168542,0,26,1.8181818181818181,1.9908883353006928,0,6,1.0575793868695007,0.7848094650155586,0.0,2.109528190211246,29.519957477040865,0.9589029547043274,28.068623886733757,30.72965707935271,1.2918958832001822e-15,0.9589029547043277,-1.451333590307108,1.2096996023118436,0.6572872727272727,0.023405320938158097,0.624339,0.698413
ITF5,2000.6363636363637,118.55232830043674,1877,2203,355.542433381984,27.76263569668781,325.97331777275303,404.12378698659035,8.909090909090908,8.677033426863646,0,23,1.8181818181818181,1.662418829187267,0,5,1.2085122957090335,0.7472126518250987,0.0,2.208992802013046,27.923472282250486,1.0278669696091367,26.35335067061127,29.176506480232614,-1.6148698540002276e-15,1.0278669696091363,-1.570121611639216,1.253034197982128,0.6697934545454545,0.019966769184640944,0.634921,0.703704
ITF6,6389.363636363636,499.7621979956616,5952,7513,332.8360361772509,32.643629849856495,303.948573862261,403.79425787689036,8.636363636363637,10.230080422682192,0,31,1.5454545454545454,1.4396969378057567,0,4,0.8504488857323373,0.7813308191676677,0.0,2.042003243969331,26.143356935810935,0.8818434328043134,24.96363112965568,27.263818881550772,6.459479416000911e-16,0.8818434328043142,-1.179725806155254,1.1204619457398373,0.7258300000000001,0.01703310582366002,0.698413,0.756614
ITG1,16601.545454545456,1347.119472328744,15297,19694,335.3041211907276,32.071236930012226,303.40631454846863,407.4307389466258,9.818181818181818,9.568888982720846,0,26,1.8181818181818181,1.4012980994907414,0,4,0.9748643598488852,0.8274091888821747,0.0,2.1871543303779903,28.054300237163883,0.7821943512021003,26.832307440335633,29.174081020667906,-3.552713678800501e-15,0.7821943512021002,-1.2219927968282498,1.119780783504023,0.6556040000000001,0.023715787800534915,0.613757,0.671958
ITG2,5277.363636363636,568.1174654465875,4711,6596,324.3173782127352,39.97482341068118,285.07837688680615,415.51883473299006,8.0,7.707139547199077,0,26,1.7272727272727273,1.4893561757289013,0,5,0.8801266375836068,0.6971214880341471,0.0,1.8732971191406236,28.67857766755469,0.8666872069979208,27.452077021364307,30.507664430336874,1.937843824800273e-15,0.8666872069979192,-1.2265006461903845,1.8290867627821825,0.6313134545454545,0.04414533258310245,0.57672,0.703704
ITH1,2938.5454545454545,191.84179087798555,2780,3458,560.4484667568573,31.00303147514295,539.3983961628983,649.2482388812953,9.818181818181818,6.337478707154475,4,25,2.090909090909091,1.0444659357341872,1,4,1.3702440488119403,0.531649332930085,0.5342645645141587,2.287567111424036,18.09319609465791,0.7441011267504886,16.420766072195086,19.05136071267675,3.2297397080004555e-16,0.7441011267504889,-1.672430022462823,0.9581646180188415,0.1784509090909091,0.017046947788120572,0.150794,0.201058
ITH3,15247.272727272728,825.6512691093119,14366,17376,312.0554185698344,17.991336778085653,292.84230301330365,358.43469489422404,9.545454545454545,7.407612791765461,0,25,2.0,1.2649110640673518,0,4,1.3539634036351453,0.5984651554483649,0.0,1.988580513000486,25.28899582238915,0.8283958616295941,23.378344989213787,26.2805621897588,0.0,0.8283958616295941,-1.9106508331753638,0.99156636736965,0.40091363636363636,0.021698307691028488,0.367725,0.444444
ITH4,4513.545454545455,156.26859162119806,4323,4908,371.985291925967,14.755431791429436,356.4452440573907,410.83265600633496,10.272727272727273,6.589247439441155,3,24,1.8181818181818181,0.8738628975053029,1,3,1.4158582715529926,0.43628359446914444,0.7363656997680671,2.0490846088954386,23.57221056274437,0.8560249242592954,21.698182129469075,24.67263439835095,-1.937843824800273e-15,0.8560249242592957,-1.8740284332752957,1.1004238356065805,0.5584419090909091,0.026808824780115023,0.492063,0.587302
ITH5,15790.272727272728,692.9248286660094,14762,17299,355.63884638489884,15.686888160257322,333.0595064663677,390.9055205829303,8.818181818181818,7.613385341859189,0,23,1.8181818181818181,1.6011359603844904,0,5,1.2266762721443927,0.881652332824785,0.0,2.580405547402116,27.376667255083248,0.9598976411376369,25.03840283878514,28.520865330930615,-2.2608177956003187e-15,0.9598976411376376,-2.3382644162981094,1.1441980758473669,0.32202954545454543,0.028495182938046325,0.269841,0.375661
ITI1,13849.181818181818,805.0622110348766,12867,15664,372.7663211813351,23.94843456335342,343.64297879466164,427.60533098055765,9.818181818181818,8.268230546110598,0,25,1.4545454545454546,1.1281521496355325,0,3,1.234627053130201,0.7196073670903548,0.0,2.3822507858276367,26.71606228213019,0.9294621683362542,24.56257827946397,28.040705852821226,3.2297397080004555e-16,0.9294621683362538,-2.153484002666218,1.3246435706910376,0.6875904545454545,0.021571930555069185,0.640212,0.708995
ITI2,3292.2727272727275,191.79107951575372,3050,3667,374.5729390467353,25.56555173982162,345.0289709998554,426.98518418466443,10.0,9.0,0,25,1.9090909090909092,1.7580981459830651,0,5,1.1465580402099043,0.7802269059414056,0.0,2.1292110218721265,27.413207436460674,1.2667489155553284,25.068055121625058,28.884474128973288,0.0,1.2667489155553282,-2.345152314835616,1.4712666925126143,0.6988938181818182,0.03061971554021418,0.634921,0.746032
ITI3,5675.909090909091,306.8792774188099,5247,6105,371.6602456542424,24.063437724604054,338.6301709349858,410.51676024610833,7.454545454545454,7.216143518024519,0,21,1.6363636363636365,1.689540012709215,0,5,1.0972132476377292,0.8265141988428389,0.0,2.3535429000854506,26.381340441867245,1.1247239011476147,24.242280491062854,27.709813493197082,-2.2608177956003187e-15,1.124723901147615,-2.1390599508043913,1.328473051329837,0.6370853636363637,0.02200129640849707,0.60582,0.671958
ITI4,18263.636363636364,829.7624084914034,17105,19830,317.88734603167245,14.736868417976469,298.8318391741375,346.98879171958407,10.363636363636363,8.393720596645178,0,29,1.8181818181818181,1.4012980994907414,0,4,1.1764182467413722,0.7697474201704748,0.0,2.7366929140957934,27.2327416685761,0.9533996811805558,25.366896301019388,28.769154126526878,-3.2297397080004555e-16,0.9533996811805565,-1.8658453675567124,1.536412457950778,0.38167354545454546,0.03509839182459402,0.333333,0.439153
